Remainder,Length,Palatalization,Voicing,Voicing
',++,++,same,1
'aht',++,++,same,1
-aaka,None,None,None,1
-kaag'er',None,None,None,1
-kaal'l'es',None,None,None,1
-kaar'r',None,None,None,1
-l'aannč,None,None,None,6
-luem,+-,+-,same,1
-muurr,None,None,None,1
-nalla,+-,--,same,1
-nalla,None,None,None,2
-nalšem,None,None,None,1
-p'eel'l',None,None,None,3
-parna,None,None,None,1
-s'eeg'g',None,None,None,1
-tala,None,None,None,1
-čalma,None,None,None,1
-čofta,None,None,None,1
-ɲe,None,None,None,5
Jn,+-,++,same,1
Js,+-,++,same,1
a,++,+-,same,5
a,+-,+-,same,1
a,+-,-+,same,2
a,+-,--,same,1
a,-+,+-,same,3
a,--,+-,same,1
a,--,--,same,1
a,None,None,None,21
a,None,None,same,1
aht',++,-+,same,1
aht',++,--,same,4
aht',+-,++,-+,1
aht',+-,--,+-,1
aht',+-,--,-+,1
aht',-+,--,same,2
aht',--,-+,same,1
aht',None,None,None,36
aht'em',None,None,None,1
aj,++,++,same,2
aj,++,+-,same,39
aj,++,-+,same,37
aj,++,--,same,1
aj,+-,--,same,2
aj,-+,+-,same,1
aj,-+,-+,same,1
aj,-+,--,same,2
aj,-+,--,+-,1
aj,--,+-,same,2
aj,--,-+,same,3
aj,--,--,same,6
aj,None,None,None,72
al,None,None,None,1
al'l'ej,None,None,None,1
alaš,None,None,None,3
all,+-,--,-+,1
alla,+-,++,-+,1
alt,+-,--,same,2
aluvv,None,None,None,1
alvudd,None,None,None,1
an,++,+-,same,1
an,+-,+-,same,1
an,None,None,None,6
annt,None,None,None,1
ant,+-,+-,same,5
ant,+-,--,same,17
ant,+-,--,-+,3
ant,None,None,None,9
ar,None,None,None,1
as,++,+-,same,1
as,+-,++,same,1
as,+-,+-,same,7
as,+-,+-,-+,1
as,+-,--,same,29
as,-+,--,same,1
as,None,None,None,10
as's't,+-,--,+-,1
as's't,None,None,None,37
as't,None,None,None,1
aslaht',-+,--,same,1
asluvn,+-,--,same,1
asluvv,+-,--,same,2
asm,+-,--,same,1
ast,+-,--,same,1
asvudd,+-,--,same,1
asxuvv,-+,--,same,1
asxuvv,None,None,None,1
ax,+-,--,same,1
ač,+-,--,same,1
aš,++,+-,same,2
aš,+-,+-,same,1
aš,+-,--,same,3
aš,None,None,None,1
d,++,+-,same,6
d,++,-+,same,1
d,-+,-+,same,1
d,-+,--,same,5
d,None,None,None,25
daht,++,+-,same,1
daht',None,None,None,2
daj,++,+-,same,1
das's't,-+,--,same,1
das's't,None,None,None,3
dedd,-+,--,same,1
dedd,None,None,None,7
deddmušš,None,None,None,1
dedn,None,None,None,4
deds,None,None,None,1
dell,++,+-,same,4
dell,-+,--,same,3
dell,None,None,None,16
deln,++,+-,same,3
deln,-+,--,same,3
deln,None,None,None,15
dels,-+,--,same,1
dennt,None,None,None,1
deɲɲe,None,None,None,1
duvn,None,None,None,1
duvv,++,-+,same,1
duvv,None,None,None,3
e,++,++,same,1
e,++,+-,same,6
e,++,-+,same,3
e,-+,+-,same,3
e,-+,--,same,3
e,--,++,same,2
e,--,--,same,3
e,None,None,None,13
e,None,None,same,1
e-efte,None,None,None,1
e-kaaxce,+-,--,same,1
e-keske,+-,--,same,1
e-kolme,+-,--,same,1
e-kude,+-,--,same,1
e-kus'ke,+-,++,same,1
e-kut'e,None,None,None,1
e-l'aannč,None,None,None,1
e-leg'g'e,None,None,None,1
e-lɨše,None,None,None,1
e-nalla,None,None,None,1
e-nalšem,None,None,None,1
e-čuuje,None,None,None,1
e-čuulme,+-,--,same,1
e-ɲ'e,None,None,None,1
e1,None,None,None,1
e2,None,None,None,1
ed,+-,--,same,5
ed',++,-+,same,1
edant,+-,--,same,1
edas's't,+-,--,same,2
edd,++,+-,same,5
edd,+-,+-,+-,1
edd,+-,--,-+,8
edd,+-,--,same,4
edd,+-,--,+-,3
edd,None,None,None,15
eddluvv,None,None,None,1
eddmušš,++,+-,same,2
eddmušš,+-,--,same,1
eddmušš,None,None,None,2
edell,+-,--,same,1
edeln,+-,--,same,1
edluvn,+-,--,same,1
edluvv,+-,--,same,1
edn,++,+-,same,3
edn,+-,--,-+,3
edn,+-,--,same,3
edn,+-,--,+-,1
edn,None,None,None,6
eds,None,None,None,1
edx,++,+-,same,1
ee,None,None,None,1
egg,+-,--,same,2
egg,+-,--,+-,1
egg,+-,--,-+,1
ehk',++,++,same,1
ej,++,-+,same,4
ej,-+,-+,same,2
ej,None,None,None,40
ejalaš,None,None,None,1
el',++,-+,same,1
el',--,+-,same,1
el',None,None,None,6
el't,+-,++,same,3
el't,+-,++,-+,1
el't,+-,--,same,2
el't,None,None,None,3
el'vudd,None,None,None,1
elaht',-+,--,+-,1
elaht',None,None,None,2
ell,++,+-,same,2
ell,++,--,-+,2
ell,+-,+-,-+,3
ell,+-,--,+-,5
ell,+-,--,-+,2
ell,--,+-,same,1
ell,--,--,+-,1
ell,None,None,None,45
eln,++,+-,same,1
eln,+-,+-,-+,3
eln,+-,--,+-,2
eln,+-,--,-+,2
eln,--,+-,same,1
eln,--,--,+-,1
eln,None,None,None,38
els,None,None,None,1
eluvn,-+,--,+-,1
eluvn,None,None,None,1
eluvv,-+,--,+-,1
eluvv,None,None,None,5
em,None,None,None,2
em',None,None,None,2
emploag'g',None,None,None,6
emploagant,None,None,None,1
emplog'g',None,None,None,1
emušš,++,--,same,1
emušš,None,None,None,12
en',++,+-,same,1
en',+-,--,same,1
en',-+,-+,same,1
en',None,None,None,1
ennt,++,+-,same,1
ennt,+-,--,+-,1
ennt,+-,--,same,1
ennt,-+,+-,same,1
ennt,None,None,None,36
entn,None,None,None,2
enč,+-,+-,same,5
enč,+-,-+,same,9
enč,+-,-+,-+,1
enč,+-,--,same,5
enč,--,-+,same,1
enč,None,None,None,5
es,+-,--,same,2
es,None,None,None,2
es',++,-+,same,7
es',+-,++,same,6
es',+-,++,-+,1
es',+-,+-,same,1
es',+-,-+,same,2
es',+-,--,same,2
es',+-,--,+-,1
es',None,None,None,10
es'-al'ex',++,-+,same,1
es'en',None,None,None,1
es't,++,-+,same,2
es't,+-,--,same,2
es't,None,None,None,7
es'vudd,None,None,None,1
esm,+-,+-,same,1
esm,+-,--,same,1
ess,+-,--,+-,2
ess,None,None,None,3
ev,++,-+,same,1
ev,+-,--,same,1
ev,--,--,same,1
ev,None,None,None,1
evudd,-+,--,same,1
evudd,None,None,None,1
ex,+-,--,same,2
eč,+-,++,same,3
eč,+-,+-,same,2
eč,+-,-+,same,1
eč,+-,--,same,21
eč,+-,--,-+,2
eč,None,None,None,4
eš,+-,+-,-+,1
eš,None,None,None,3
eš',++,-+,same,1
eš',None,None,None,1
eš't,++,-+,same,1
eš't,None,None,None,7
ešš,None,None,None,1
eɲ,+-,--,same,1
eɲɲe,++,+-,same,1
eɲɲe,None,None,None,9
ged'd'e,None,None,None,1
geɲɲe,None,None,None,2
j,++,++,same,5
j,++,+-,same,71
j,++,-+,same,35
j,+-,-+,same,1
j,-+,+-,same,5
j,-+,-+,same,1
j,-+,--,same,5
j,--,+-,same,1
j,--,-+,same,2
j,--,--,same,4
j,None,None,None,222
j-p'eel'l',++,--,same,1
ja,++,+-,same,1
ja,-+,++,same,1
ja,None,None,None,4
jaht',++,-+,same,1
jaht',None,None,None,1
jalaš,++,+-,same,2
jalaš,++,-+,same,1
jalaš,-+,--,same,1
jalaš,None,None,None,19
jaluvn,None,None,None,1
jaluvv,None,None,None,1
jas's't,++,+-,same,1
jas's't,++,-+,same,1
jas's't,None,None,None,4
jedd,+-,--,same,1
jedd,None,None,None,1
jedn,+-,--,same,1
jej,None,None,None,1
jennt,++,+-,same,2
jennt,++,-+,same,4
jenč,++,-+,same,1
jenč,-+,++,same,1
jenč,None,None,None,5
jes',++,+-,same,6
jes',++,-+,same,13
jes',++,--,same,1
jes',+-,-+,same,1
jes',-+,-+,same,1
jes',-+,--,same,1
jes',None,None,None,32
jess,+-,--,same,1
jeɲ'ɲ'e,++,-+,same,2
jeɲɲe,++,+-,same,6
jeɲɲe,++,-+,same,3
jeɲɲe,-+,--,same,1
jeɲɲe,--,--,same,1
jeɲɲe,None,None,None,25
juvn,++,+-,same,1
juvn,None,None,None,4
juvv,++,++,same,1
juvv,++,+-,same,16
juvv,++,-+,same,4
juvv,-+,--,same,2
juvv,--,--,same,2
juvv,None,None,None,72
juvv,None,None,same,1
jušš,None,None,None,3
jxuvv,+-,-+,same,1
k,None,None,None,3
kennt,None,None,None,3
kenteš,+-,--,same,1
kenč,-+,--,same,1
keɲɲe,None,None,None,1
l,++,+-,same,21
l,++,-+,same,2
l,-+,++,same,1
l,-+,+-,same,4
l,-+,-+,same,1
l,-+,--,same,11
l,--,+-,same,1
l,--,--,same,1
l,None,None,None,252
l'enč,None,None,None,2
l's,None,None,None,1
l'sas's't,None,None,None,1
la,None,None,None,4
laht',-+,-+,same,1
laht',-+,--,same,5
laht',--,+-,same,2
laht',--,-+,same,1
laht',None,None,None,71
lahč,++,+-,same,1
lahč,None,None,None,1
las's't,++,+-,same,1
las's't,-+,--,same,1
las's't,None,None,None,6
ledd,++,+-,same,3
ledd,--,+-,same,1
ledd,None,None,None,3
ledn,++,+-,same,1
ledn,--,+-,same,1
ledn,None,None,None,2
legg,++,+-,same,1
legg,+-,+-,same,1
lemušš,-+,+-,same,1
lemušš,-+,--,same,1
lemušš,None,None,None,2
lennt,++,+-,same,2
lennt,-+,+-,same,1
lennt,--,+-,same,1
lennt,None,None,None,8
lenč,+-,--,same,1
lenč,None,None,None,3
les,--,+-,same,2
les,None,None,None,5
les',++,-+,same,1
les',None,None,None,3
les't,None,None,None,1
less,None,None,None,2
lešš,None,None,None,1
leɲɲe,++,+-,same,1
leɲɲe,+-,--,same,1
leɲɲe,-+,--,same,1
leɲɲe,--,+-,same,1
leɲɲe,None,None,None,5
ln,None,None,None,1
loag'g',None,None,None,6
ls,None,None,None,1
lsell,None,None,None,1
lseln,None,None,None,1
luvn,++,+-,same,1
luvn,-+,+-,same,1
luvn,--,+-,same,1
luvn,--,--,same,1
luvn,None,None,None,85
luvs,None,None,None,1
luvv,++,+-,same,1
luvv,++,-+,same,2
luvv,+-,-+,same,1
luvv,-+,+-,same,1
luvv,-+,-+,same,1
luvv,-+,--,same,5
luvv,--,+-,same,3
luvv,--,--,same,3
luvv,None,None,None,244
lušš,++,+-,same,1
lč,None,None,None,1
m,--,+-,same,2
m,None,None,None,4
m,None,None,same,1
ma,+-,--,same,2
mes,None,None,None,1
mes',None,None,None,1
muss,+-,-+,same,2
muss,+-,--,same,1
muss,None,None,None,1
muvn,None,None,None,1
muvv,None,None,None,1
mušš,++,+-,same,6
mušš,-+,--,same,3
mušš,None,None,None,36
n,++,+-,same,15
n,+-,++,same,20
n,+-,+-,same,58
n,+-,-+,same,7
n,+-,--,same,208
n,-+,+-,same,4
n,-+,--,same,4
n,--,++,same,1
n,--,+-,same,2
n,--,-+,same,1
n,--,--,same,2
n,None,None,None,104
n,None,None,same,1
nad'd'ej,+-,--,same,1
naddej,+-,--,same,1
naht',++,+-,same,1
naht',+-,+-,same,1
naht',+-,-+,same,1
naht',None,None,None,1
nas's't,+-,-+,same,1
nas's't,+-,--,same,1
nas's't,-+,--,same,1
nas's't,None,None,None,2
nedd,+-,++,same,1
nedd,+-,+-,same,6
nedd,+-,-+,same,1
nedd,+-,--,same,41
nedd,--,+-,same,1
nedd,None,None,None,12
nedd,None,None,same,1
nedn,+-,--,same,9
nedn,None,None,None,1
neds,+-,--,same,1
neds,None,None,None,1
nedx,+-,--,same,1
negg,++,+-,same,1
negg,+-,+-,same,1
negg,+-,--,same,5
negg,None,None,None,2
nehk',None,None,None,3
nej,++,+-,same,1
nej,+-,--,same,1
nel'l'e,+-,++,same,1
nel'l'e,+-,--,same,2
nell,++,-+,same,1
nell,+-,++,same,1
nell,+-,+-,same,1
nell,+-,-+,same,2
nell,+-,--,same,4
nell,None,None,None,4
neln,++,-+,same,1
neln,+-,++,same,1
neln,+-,+-,same,1
neln,+-,-+,same,2
neln,+-,--,same,3
neln,None,None,None,2
nemušš,None,None,None,1
nennt,++,+-,same,5
nennt,+-,+-,same,3
nennt,+-,-+,same,1
nennt,+-,--,same,1
nennt,-+,--,same,4
nennt,None,None,None,30
nenntej,None,None,None,1
nentn,None,None,None,2
ness,+-,++,same,1
nušš,None,None,None,1
ploag'g',--,+-,same,1
rešš,None,None,None,1
s,++,+-,same,5
s,+-,++,same,44
s,+-,+-,same,9
s,+-,-+,same,6
s,+-,--,same,167
s,-+,--,same,2
s,--,+-,same,2
s,--,-+,same,2
s,--,--,same,1
s,None,None,None,50
s,None,None,same,1
sa,++,+-,same,1
sa,+-,--,same,1
sa,None,None,None,3
saht',+-,++,same,3
saht',+-,--,same,5
saht',None,None,None,2
sas's't,+-,--,same,7
sas's't,None,None,None,4
se,None,None,None,4
segg,+-,--,same,2
segg,-+,--,same,1
sell,++,+-,same,8
sell,++,-+,same,4
sell,+-,++,same,2
sell,+-,+-,same,2
sell,+-,-+,same,1
sell,+-,--,same,14
sell,-+,--,same,1
sell,--,--,same,1
sell,None,None,None,17
sellmušš,None,None,None,1
seln,++,+-,same,5
seln,++,-+,same,3
seln,+-,++,same,2
seln,+-,+-,same,2
seln,+-,-+,same,2
seln,+-,--,same,9
seln,-+,--,same,1
seln,--,--,same,1
seln,None,None,None,15
sennt,++,+-,same,2
sennt,+-,--,same,1
sennt,--,--,same,1
sennt,None,None,None,4
seɲɲe,++,+-,same,1
seɲɲe,+-,--,same,1
seɲɲe,-+,--,same,1
seɲɲe,None,None,None,4
suvn,+-,++,same,1
suvn,+-,--,same,3
suvn,None,None,None,2
suvv,+-,++,same,3
suvv,+-,+-,same,1
suvv,+-,-+,same,1
suvv,+-,--,same,6
suvv,--,-+,same,1
suvv,None,None,None,3
suvvz,+-,-+,same,1
sš,-+,+-,same,1
sš,-+,--,same,2
sš,None,None,None,2
t,++,+-,same,15
t,++,-+,same,1
t,++,--,same,1
t,+-,--,same,1
t,-+,++,same,4
t,-+,-+,same,2
t,-+,--,same,2
t,--,+-,same,2
t,--,--,same,3
t,None,None,None,52
ta,None,None,None,1
tas,+-,--,same,1
tas's't,++,+-,same,1
tas's't,None,None,None,4
tedd,++,+-,same,3
tedd,--,+-,same,1
tedd,None,None,None,16
tedn,++,+-,same,1
tedn,None,None,None,5
tej,None,None,None,1
telant,+-,+-,same,1
tell,++,+-,same,8
tell,+-,--,same,1
tell,-+,--,same,1
tell,--,+-,same,1
tell,--,--,same,1
tell,None,None,None,24
tellmušš,++,+-,same,1
teln,++,+-,same,8
teln,+-,--,same,1
teln,-+,--,same,1
teln,--,--,same,1
teln,None,None,None,24
temušš,++,+-,same,1
temušš,None,None,None,1
tennt,++,+-,same,1
tess,-+,--,same,1
teɲɲe,-+,--,same,1
teɲɲe,None,None,None,1
tj,None,None,None,1
tl,None,None,None,2
tlas's't,None,None,None,1
ts,None,None,None,1
tt,None,None,None,1
tuvn,None,None,None,4
tuvv,++,+-,same,1
tuvv,+-,--,same,1
tuvv,--,--,same,2
tuvv,None,None,None,10
tušš,None,None,None,1
tužn,None,None,None,1
tx,+-,-+,same,1
udd,++,--,same,1
uvn,++,++,same,2
uvn,++,--,same,5
uvn,++,--,+-,1
uvn,-+,--,same,1
uvn,None,None,None,14
uvnel'l'e,None,None,None,1
uvs,+-,--,-+,1
uvs,None,None,None,2
uvv,++,++,same,4
uvv,++,+-,same,1
uvv,++,--,same,14
uvv,+-,++,-+,1
uvv,+-,--,-+,3
uvv,+-,--,+-,2
uvv,+-,--,same,1
uvv,-+,-+,same,1
uvv,-+,--,same,5
uvv,--,++,same,1
uvv,None,None,None,56
ušš,--,--,same,1
ušš,None,None,None,18
uššmušš,None,None,None,2
užn,None,None,None,8
užs,None,None,None,7
užx,None,None,None,1
v'es',None,None,None,1
ves',None,None,None,1
vudd,++,+-,same,1
vudd,+-,-+,same,1
vudd,None,None,None,17
vušš,None,None,None,1
vužn,None,None,None,1
x,++,+-,same,3
x,++,-+,same,9
x,+-,++,same,31
x,+-,+-,same,13
x,+-,-+,same,9
x,+-,--,same,155
x,-+,-+,same,1
x,-+,--,same,1
x,--,+-,same,2
x,--,-+,same,3
x,--,--,same,1
x,None,None,None,37
x',None,None,None,1
xaht',+-,++,same,4
xaht',+-,--,same,10
xaht',--,+-,same,2
xaht',--,-+,same,1
xaht',None,None,None,5
xal'l'ej,+-,--,same,1
xanna,+-,++,same,1
xanna,+-,--,same,1
xanna,None,None,None,1
xas's't,+-,++,same,1
xas's't,+-,--,same,3
xas's't,None,None,None,1
xedd,+-,--,same,2
xej,+-,--,same,1
xel'l',+-,-+,same,1
xel'mes',+-,-+,same,1
xell,++,+-,same,5
xell,++,-+,same,2
xell,+-,+-,same,6
xell,+-,-+,same,1
xell,+-,--,same,27
xell,-+,--,same,1
xell,None,None,None,11
xellmušš,+-,--,same,1
xeln,++,+-,same,5
xeln,++,-+,same,2
xeln,+-,+-,same,6
xeln,+-,-+,same,1
xeln,+-,--,same,25
xeln,-+,--,same,1
xeln,None,None,None,9
xem',+-,++,same,3
xem',+-,--,same,1
xemes',+-,++,same,1
xemes',+-,--,same,2
xennt,+-,--,same,1
xenč,None,None,None,1
xess,+-,+-,same,5
xess,+-,--,same,2
xt,None,None,None,1
xtluvn,None,None,None,1
xtluvv,None,None,None,1
xuv'v',None,None,None,1
xuvn,+-,+-,same,1
xuvn,+-,--,same,12
xuvn,--,+-,same,1
xuvn,None,None,None,1
xuvv,+-,++,same,25
xuvv,+-,+-,same,7
xuvv,+-,-+,same,3
xuvv,+-,--,same,78
xuvv,-+,--,same,1
xuvv,--,++,same,1
xuvv,--,+-,same,2
xuvv,--,-+,same,1
xuvv,None,None,None,24
xušš,None,None,None,1
xuššej,None,None,None,1
xuššl,None,None,None,1
xuššs,None,None,None,1
xužn,None,None,None,1
xužs,None,None,None,1
xužx,None,None,None,1
xužxuvv,None,None,None,1
č,++,+-,same,1
č,+-,++,same,2
č,+-,+-,same,49
č,+-,--,same,88
č,--,+-,same,2
č,--,--,same,1
č,None,None,None,13
čaddej,+-,+-,same,1
čas's't,+-,+-,same,1
čedd,+-,+-,same,10
čedd,+-,--,same,6
čedd,None,None,None,2
čedn,+-,+-,same,3
čedn,None,None,None,1
čes',+-,--,same,1
š,++,+-,same,41
š,++,--,same,1
š,+-,+-,same,3
š,+-,--,same,6
š,-+,+-,same,3
š,-+,--,same,6
š,--,+-,same,4
š,--,-+,same,1
š,--,--,same,5
š,None,None,None,84
š',None,None,None,1
šaht',+-,+-,same,1
šaht',+-,--,same,1
šaht',None,None,None,1
šas's't,++,+-,same,1
šas's't,--,--,same,1
še-nalla,+-,--,same,1
šedd,+-,--,same,1
šedd,None,None,None,2
šeds,None,None,None,1
šej,++,+-,same,1
šej,--,--,same,1
šell,++,+-,same,1
šeln,++,+-,same,1
šem,None,None,same,1
šemušš,None,None,None,1
šennt,++,+-,same,2
šennt,--,--,same,1
šennt,None,None,None,2
šes',None,None,None,2
šeɲɲe,++,+-,same,2
šeɲɲe,None,None,None,1
šuvn,+-,--,same,1
šuvn,None,None,None,1
šuvv,+-,+-,same,2
šuvv,+-,--,same,2
šuvv,None,None,None,5
šušš,+-,--,same,1
ɨdž'me,--,--,same,1
ɨggsa,+-,--,same,1
ɨjjma,None,None,None,1
ɨjjmjenč,None,None,None,1
ɲ'aht',None,None,None,1
ɲedd,None,None,None,1
ɲes't,None,None,None,1
ɲušš,None,None,None,2
